"genes" "log2FoldChange" "padj" "lfcSE" "stat" "baseMean"
"1" "SMEST074186001.1.p1" 4.22538223774419 7.20724618857271e-81 0.216171474437992 19.5464376080583 2670.88401932268
"2" "SMEST014762001.1.p1" -3.07755606058821 1.36087921918853e-40 0.219902774356427 -13.9950760948563 1161.33971887039
"3" "SMEST048714001.1.p1" -2.8161544468543 7.34520367171676e-40 0.203397061729502 -13.8456004374316 399.48691209021
"4" "SMEST010389001.1.p1" -8.46109387709818 3.68431224267159e-38 0.624883524194561 -13.540273586192 1859.06580601314
"5" "SMEST053385001.1.p1" -8.35660577684025 1.2383117415966e-37 0.622029329020523 -13.4344240487807 1468.02815376497
"6" "SMEST020111001.1.p1" -3.42489843552503 9.32131451564016e-37 0.258083519736743 -13.2705042112669 364.449487455206
"7" "SMEST054032001.1.p1" -6.73910633742824 4.04440742814779e-34 0.526678397405417 -12.7954865257948 2739.4835914044
"8" "SMEST041912001.1.p1" -4.11669136918773 4.20955233722747e-33 0.326677961338706 -12.6016807265412 200.088100142823
"9" "SMEST017161001.1.p1" -8.25420716850753 1.02793358950287e-32 0.659190463009559 -12.521733295143 718.128058723036
"10" "SMEST053358001.1.p1" -8.07140847719082 5.32646086024508e-32 0.651864077746296 -12.3820421353732 1982.81582710176
"11" "SMEST077439001.1.p1" -5.02453027566795 1.08711790567767e-27 0.43500557124988 -11.5504963792331 1153.90036460982
"12" "SMEST026362002.1.p1" -5.09869851606428 1.37198028381764e-27 0.442480686554664 -11.5229854567548 90.9517114009601
"13" "SMEST043642001.1.p1" -4.90938205438969 2.82108233212756e-27 0.428625208352546 -11.4537875018114 284.238824959826
"14" "SMEST060332001.1.p1" -6.80974083317586 3.78209292115233e-27 0.596199419648891 -11.4219179166363 272.481582434945
"15" "SMEST037374003.1.p1" -1.27244161954306 3.96412052345232e-27 0.111501941076488 -11.4118337964197 1333.48860052571
"16" "SMEST026376001.1.p1" -4.48883212878696 4.93823146528912e-27 0.39420379571762 -11.3870849990558 91.7218178780868
"17" "SMEST050423001.1.p1" -8.99975146461656 7.30030471328624e-27 0.793092899217745 -11.3476636513747 1808.78649898417
"18" "SMEST026302001.1.p1" -5.72384185048365 8.11727814559689e-27 0.505042838355893 -11.3333789052765 122.102800726629
"19" "MSTRG.16902.1.p2" 4.12147370628859 2.50311215039056e-26 0.367019761327798 11.2295689239675 15455.2269911846
"20" "SMEST077449001.1.p1" -6.48067034329565 5.01166167541577e-26 0.580523038299646 -11.1635024206405 193.319993308115
"21" "SMEST000960001.1.p1" 1.62197717556751 1.45571684852045e-25 0.146600059235308 11.0639598921586 471.848735058226
"22" "SMEST057736001.1.p1" -7.51052072546333 3.70632335614071e-25 0.684289476282687 -10.9756484437891 305.379857443592
"23" "SMEST053360001.1.p1" -8.50795787755439 5.84850023195476e-25 0.778381684706659 -10.9303161221743 2609.74548408885
"24" "MSTRG.21031.1.p1" 1.41638417951848 2.85258061003296e-22 0.136853864872893 10.3496103733277 638.842324531803
"25" "SMEST001671001.1.p1" -4.34737800780615 3.52395384652615e-22 0.421189266943851 -10.3216732927473 491.346891128858
"26" "SMEST017157001.1.p1" -7.13947184820047 3.52395384652615e-22 0.691550210336312 -10.3238662088302 401.183152319018
"27" "SMEST032289001.1.p1" -6.89706086400466 2.31104977426011e-21 0.680461131271731 -10.135863089071 268.373382530684
"28" "MSTRG.20361.1.p1" -1.43916137136772 2.74334542765478e-21 0.142272444827309 -10.1155313182013 961.873139552149
"29" "SMEST033798001.1.p1" -4.67491040479149 2.2850374795479e-20 0.472102381351427 -9.9023232871845 59.1049391288118
"30" "SMEST032256001.1.p1" -6.53154128397971 3.34788220871848e-20 0.662383902837636 -9.86065823157651 275.387804183484
"31" "SMEST017159001.1.p1" -4.89532885016558 5.27520110161845e-20 0.498933015274814 -9.81159534505693 109.93348760606
"32" "MSTRG.6483.1.p1" 1.42541597149312 5.7106165934754e-20 0.145444910088999 9.80038401220705 720.659571919392
"33" "SMEST072086001.1.p1" -5.98010698418295 1.46518187189366e-19 0.616403155926592 -9.70161642860753 88.3641633759981
"34" "SMEST057720001.1.p1" -5.38302560187323 2.71709220330535e-19 0.558674782276595 -9.63534738392423 197.547842280379
"35" "SMEST053313001.1.p1" -8.08678334111741 2.73286451284443e-19 0.839594273444904 -9.63177524774778 6259.20021873659
"36" "SMEST005262001.1.p1" -6.26599928106377 3.61605030052763e-19 0.652704187767556 -9.60005987167841 4360.64921798564
"37" "SMEST070597003.1.p1" -2.01646121394363 4.5510623437408e-19 0.210629560174676 -9.5734958202038 281.076374259029
"38" "SMEST014017001.1.p1" -4.16793073018456 6.35680108715651e-19 0.437067219698483 -9.53613206924981 273.975909217062
"39" "SMEST028503003.1.p1" 0.860254743903601 1.07797199834539e-18 0.0907587875308927 9.47847329506011 327.035165977767
"40" "SMEST043490001.1.p1" -5.80758550553264 1.71139723332974e-18 0.616028911921346 -9.42745607088348 706.283880433159
"41" "SMEST035898001.1.p1" -1.08455325330101 4.43335289797702e-18 0.116312851184551 -9.32444903770928 1458.90497518451
"42" "SMEST048414001.1.p1" -6.19959190871997 7.36850591340186e-18 0.668935658853757 -9.2678448617064 227.481587117481
"43" "SMEST032167004.1.p1" -5.05842311602284 8.27671694868092e-18 0.546683825935036 -9.25292257800206 39.952663455287
"44" "SMEST017039001.1.p1" -4.07387951752838 1.07371946968957e-17 0.441727540919225 -9.22260701483707 89.4972393679613
"45" "MSTRG.22788.4.p1" -1.64806850513911 1.15158108356252e-17 0.178891162225584 -9.21268823252918 427.065213985067
"46" "MSTRG.22180.4.p1" -1.90844970498141 3.96274373154836e-17 0.210257278794362 -9.07673549246272 218.992947468968
"47" "MSTRG.4457.12.p1" -2.30201475548382 1.08501412190598e-16 0.256805456257684 -8.96404145390871 164.966281514413
"48" "SMEST057926001.1.p1" -5.95996816999697 2.00600902819238e-16 0.670132421271359 -8.8937170935408 220.419987760465
"49" "SMEST069376001.1.p1" -5.59669052988087 2.27500537317408e-16 0.630439967284997 -8.87743610860069 449.711683574106
"50" "SMEST026355001.1.p1" -1.52536905033952 3.85226646724848e-16 0.173015322967135 -8.81638125560283 613.530508515671
"51" "SMEST068770001.1.p1" -0.926122171890637 4.24183731216311e-16 0.105200961029523 -8.80336227756263 5013.71830204231
"52" "SMEST019977001.1.p1" -0.948466956499922 5.4832945065098e-16 0.108120266700501 -8.77233274985558 1507.45108217537
"53" "SMEST073664001.1.p1" -2.17849611535175 6.26042402867319e-16 0.248821623794301 -8.75525238575204 98.665187204699
"54" "SMEST001662010.1.p2" -4.02009657639231 1.74246173162027e-15 0.465455066531387 -8.63691656930588 66.50321549478
"55" "SMEST041433001.1.p1" -1.79999413154276 3.50265428833063e-15 0.210418306714759 -8.55436088069473 311.020291278438
"56" "SMEST066465001.1.p1" 0.695261142342708 3.50265428833063e-15 0.0812927540626925 8.55255982355484 1735.50807899876
"57" "MSTRG.9136.2.p1" -1.12021092464232 4.15609763372929e-15 0.131314427306241 -8.5307528473612 3567.37030049581
"58" "SMEST000719001.1.p1" -9.79413950312997 5.58811011447364e-15 1.15300881312155 -8.49441859565165 2096.12782369312
"59" "SMEST030287002.1.p1" -3.96854147875638 7.93384568870434e-15 0.469560106513686 -8.45161550929307 80.8610927445085
"60" "SMEST014441001.1.p1" -6.88246969780384 1.08336466930461e-14 0.818055600747271 -8.41320527787707 483.002707518593
"61" "SMEST057964001.1.p3" -6.14970015151604 1.26474616003209e-14 0.732709564695685 -8.3930938639653 164.011866794801
"62" "MSTRG.5177.1.p1" -2.03985490917529 1.98393202200726e-14 0.244642706231646 -8.3380982028698 199.456010704113
"63" "MSTRG.8036.2.p1" 1.1039912860383 2.30581588762763e-14 0.132716784980697 8.31839986327932 5968.90111948551
"64" "SMEST001542001.1.p1" -2.02567289405679 3.21115976373358e-14 0.24473011449246 -8.27717054052702 145.325047761288
"65" "SMEST063361001.1.p1" -7.86460589642809 4.55212401048473e-14 0.955336939669819 -8.23228493514155 122.558460532103
"66" "SMEST077421001.1.p1" -6.15997037508704 4.55212401048473e-14 0.748312563768916 -8.23181471664998 573.409639154525
"67" "SMEST027140001.1.p1" -0.98065825538775 8.87647636168255e-14 0.120331524674451 -8.14963708006571 16791.494292495
"68" "SMEST014171001.1.p1" -4.37453536202221 1.05465701986307e-13 0.538274104064375 -8.12696603643232 4810.53238644071
"69" "SMEST032278001.1.p1" -6.16839974444296 1.29424767773484e-13 0.761499892974607 -8.1003291022769 268.678750618262
"70" "SMEST048204001.1.p1" 2.01496270861375 1.44724533427877e-13 0.249223205856246 8.08497227090481 14820.0006720995
"71" "SMEST024574001.1.p1" -5.66642994065216 1.54083424321244e-13 0.701672818821648 -8.0756013182441 57.1155784842825
"72" "SMEST032267001.1.p1" -10.1220785524894 2.08875968828315e-13 1.25948477961968 -8.03668191651026 119.86244922172
"73" "SMEST003282004.1.p1" -3.19748238003576 2.33145878036756e-13 0.398613923187479 -8.02150199488114 295.487324671297
"74" "SMEST014414001.1.p1" -5.30898698427081 3.2154299941523e-13 0.665265895244256 -7.98024823190671 191.351440662833
"75" "SMEST057704001.1.p1" 1.56371143260906 3.57341408121963e-13 0.196309304978931 7.96554922741379 5330.79011848634
"76" "SMEST033795002.1.p1" -1.59900856947136 3.72317714940028e-13 0.200909948753367 -7.95883220016281 440.331909620302
"77" "SMEST019773002.1.p1" -1.03760802236912 4.72720321858319e-13 0.130906442212759 -7.92633276735701 3595.04086541016
"78" "SMEST026361001.1.p1" -5.05872094844069 4.72720321858319e-13 0.638243402221316 -7.92600586364783 217.091330205571
"79" "SMEST014169001.1.p1" -3.22248765806952 6.92555663666798e-13 0.409109881625828 -7.87682674704202 25.8087442545272
"80" "SMEST003274001.1.p1" -5.36890358603668 8.42852815108448e-13 0.683879114021166 -7.85066172655554 327.412519060024
"81" "SMEST053366001.1.p1" -7.44032139156001 1.12710467889689e-12 0.952352620018331 -7.81256987712891 106.663147294869
"82" "SMEST009988001.1.p1" 0.643507000002973 1.49172511663248e-12 0.0827595259336739 7.77562453074828 881.792708518298
"83" "MSTRG.11195.1.p1" -1.03444044788891 2.02891030422932e-12 0.133760397944277 -7.73353297229154 5236.41463936118
"84" "SMEST068658001.1.p1" -5.42196432073233 2.02891030422932e-12 0.701084275668546 -7.73368410746626 122.169579228126
"85" "SMEST019450002.1.p1" -5.96410697683026 2.19359424641923e-12 0.772343789998497 -7.72208834208645 883.093046731849
"86" "MSTRG.18404.3.p1" -1.44296037247912 2.22283167475481e-12 0.186938357211821 -7.7189100942194 159.954868998195
"87" "SMEST022915001.1.p1" -1.89152337086474 2.37696820838052e-12 0.245369307872357 -7.70888334513594 64.3467074077494
"88" "SMEST058507001.1.p2" -5.47645586847888 4.96378413547911e-12 0.719369160904267 -7.61285882980419 58.98769375321
"89" "SMEST013689001.1.p1" -1.41183501012393 5.48885364420056e-12 0.185807013726874 -7.59839460204258 492.496604057315
"90" "SMEST013980002.1.p1" -3.82664445305427 7.08012072090593e-12 0.505907457378232 -7.56392181464396 461.145053241805
"91" "MSTRG.12536.1.p1" -1.40545563651782 1.53313863014131e-11 0.188364354654939 -7.46136730111408 550.085641148899
"92" "SMEST020501001.1.p1" 1.01520572636942 1.55960672612504e-11 0.13615019792228 7.45651304119989 6536.94754657313
"93" "SMEST056223001.1.p1" -6.95808916226881 1.55960672612504e-11 0.93318922412042 -7.45624679584912 614.949325752071
"94" "SMEST077431001.1.p1" -6.11094286640788 1.69004158044064e-11 0.820895510274912 -7.44423960165328 379.222837191066
"95" "SMEST003273002.1.p1" -5.47445132561809 1.82569983969208e-11 0.736587560594093 -7.43217998577479 192.855727327765
"96" "SMEST025962001.1.p1" -5.87250206885273 1.82569983969208e-11 0.790243645921148 -7.43125503022228 218.446942900267
"97" "MSTRG.20462.1.p1" -1.32614621669176 1.89805903730135e-11 0.178611772781077 -7.42474135967063 194.834233330061
"98" "MSTRG.3181.7.p1" -2.12078802152377 1.9792446908358e-11 0.285903839263356 -7.41783680480848 175.72874492594
"99" "SMEST024638001.1.p1" -6.00472542973605 2.05547721513438e-11 0.810192241682748 -7.41148226409129 58.7599762108586
"100" "SMEST013992001.1.p1" -4.29799994190171 2.23010559960914e-11 0.580863528107863 -7.39932829988872 4176.64574748102
"101" "SMEST033062001.1.p1" -8.91869634407786 2.56324692625043e-11 1.20857870939318 -7.37949152567474 1760.44671514778
"102" "MSTRG.23672.1.p1" -5.10240084749301 2.61368003700138e-11 0.691796144352855 -7.37558439598718 318.105899092258
"103" "SMEST052591001.1.p1" 0.890626702834973 2.7169792910977e-11 0.120859330161432 7.36911831006643 590.305814688735
"104" "SMEST014412001.1.p1" -5.65503869575112 2.85345731197138e-11 0.768212843651186 -7.36129152550181 267.347225025602
"105" "SMEST014410001.1.p1" -6.19559767213251 4.32781934012918e-11 0.84822311963957 -7.30420749998558 759.621455594757
"106" "MSTRG.4061.2.p1" -1.37527495339528 4.99765758966922e-11 0.188819237003327 -7.28355317615784 916.40604463905
"107" "SMEST030767002.1.p1" -3.21511656874449 5.56886205835788e-11 0.442385690880633 -7.26767758320647 459.20916377436
"108" "SMEST032522001.1.p1" -1.13181923962564 5.85134898220133e-11 0.155903761656478 -7.25973015403898 1744.05218131791
"109" "SMEST010225001.1.p1" 0.769280769878878 7.59623825988243e-11 0.106502978459234 7.22309160746465 531.568345480748
"110" "MSTRG.23422.2.p1" 0.505500316869427 7.86843921492906e-11 0.070054346465457 7.21583088522114 2016.78823920358
"111" "SMEST076777001.1.p1" -5.27876474662698 7.86843921492906e-11 0.731475172026959 -7.2166013946847 111.131738399106
"112" "SMEST014402001.1.p1" -5.41220766504228 8.55855676796168e-11 0.751365660689851 -7.20316078868067 201.72933719895
"113" "SMEST048042002.1.p1" 0.515520147939693 8.62778466513314e-11 0.071591559684991 7.20085091326443 2650.95145203683
"114" "MSTRG.6715.3.p1" -4.94415298064218 8.76295158607441e-11 0.686923602865103 -7.19752962341156 53.4887889393021
"115" "SMEST004532001.1.p1" -1.12979005544838 1.13575148376545e-10 0.157798795634182 -7.15968744189609 3706.83298239558
"116" "SMEST038860001.1.p1" -1.44666261325799 1.13575148376545e-10 0.202026703283059 -7.16074949374923 352.92049646113
"117" "SMEST077446001.1.p1" -6.03482279157786 1.23443916538479e-10 0.844376330356147 -7.14707716763265 149.465954228142
"118" "SMEST040830001.1.p1" -5.11764970711095 1.2427278809513e-10 0.716257170282325 -7.14498914557986 242.667919209198
"119" "MSTRG.984.2.p1" 0.70642927572343 1.31471475528711e-10 0.0989938919376651 7.13608952932427 2399.70948522246
"120" "SMEST078401001.1.p1" -2.60475460035755 1.55937348725655e-10 0.366277383311287 -7.11142625517737 48.8993553310134
"121" "SMEST034758001.1.p1" -1.28667005990392 1.6731590640655e-10 0.181206979583542 -7.10055464122301 11118.4806005464
"122" "SMEST001654003.1.p1" -3.91387916860329 1.90633121462896e-10 0.552701413306825 -7.08136269307954 119.564308177556
"123" "SMEST077491001.1.p1" -0.69333350505994 2.09888705219921e-10 0.0981102026370898 -7.06688485421424 532.718612702913
"124" "SMEST055011001.1.p1" -4.03617199866921 2.10993301321224e-10 0.571288580978856 -7.06503181238728 66.0497277786194
"125" "SMEST032056004.1.p1" -5.03491371194856 2.16738836321473e-10 0.713141987878245 -7.0601840832967 30.0598815521615
"126" "SMEST080469001.1.p1" -6.48271968424905 2.17050490411969e-10 0.918378319112223 -7.05887709818298 146.051916146816
"127" "MSTRG.5840.1.p2" -1.80608040363992 2.34610376717973e-10 0.256292250204011 -7.04695675426108 4089.34335587608
"128" "MSTRG.7876.1.p1" 0.722833634331888 2.54175024309342e-10 0.10275251851434 7.03470479150357 1363.26668954858
"129" "SMEST017181001.1.p1" 0.774009501078976 3.10631273063964e-10 0.11048451536855 7.0055925800739 369.203747105397
"130" "SMEST076611001.1.p1" -0.884526082082512 4.81650826806564e-10 0.127401252205145 -6.94283664228214 267.513835265739
"131" "MSTRG.13021.1.p1" 0.657144385738209 5.49668259375415e-10 0.0949209000462755 6.92307368996544 4153.46366332677
"132" "SMEST037576001.1.p1" -1.48572981635615 5.59431284887672e-10 0.214716262841984 -6.91950296028367 150.530395259293
"133" "SMEST003271002.1.p1" -4.9716313468384 8.5248283673346e-10 0.724886314510653 -6.85849801178076 314.57411141217
"134" "MSTRG.20659.1.p1" -0.738725739034895 1.01208183221634e-09 0.108113677758004 -6.83286106211667 1943.48038600823
"135" "SMEST003216001.1.p1" -0.742608272454629 1.06528316322689e-09 0.108815947537278 -6.82444337674153 5819.02391384762
"136" "MSTRG.4612.2.p1" -2.01403287719803 1.28540289834161e-09 0.296339872805997 -6.79636141477507 2411.3979797035
"137" "SMEST023215001.1.p1" -1.99219510925476 1.40260155732325e-09 0.293716463074452 -6.78271516823276 177.266858687759
"138" "SMEST003278001.1.p1" -5.05195847666468 1.62994724758515e-09 0.747362383051671 -6.75971736232729 31.3670922338065
"139" "SMEST030745001.1.p1" -3.67268273525214 1.62994724758515e-09 0.543385680396216 -6.75888759632782 2421.8493295667
"140" "SMEST024561001.1.p1" -5.57627492358345 1.67475897498182e-09 0.825635694429669 -6.75391696507916 249.878264339975
"141" "MSTRG.2906.1.p1" -1.20165826077605 1.77818424175419e-09 0.178176845357634 -6.74418866471732 124.542337529747
"142" "SMEST002694001.1.p1" 0.638946752468846 1.91709675794986e-09 0.0949086387140292 6.73222965924174 4122.41466060807
"143" "SMEST003290001.1.p1" -3.77568577390066 1.9217909030988e-09 0.560952045000481 -6.73085303378727 489.13441675738
"144" "SMEST006412001.1.p1" -0.770399134492393 2.09818649415665e-09 0.114693084559034 -6.71704957150976 333.563895523922
"145" "SMEST047826001.1.p1" -1.02237572488597 2.22292338372083e-09 0.1524201331103 -6.70761600861564 19500.2088274937
