"genes" "log2FoldChange" "padj" "lfcSE" "stat" "baseMean"
"1" "SMEST014171001.1.p1" -12.0441093009275 4.41783750052606e-47 0.799191232294435 -15.0703721640558 4810.53238644071
"2" "SMEST077439001.1.p1" -6.90613793552775 1.19391482374202e-45 0.466490825975619 -14.8044453416297 1153.90036460982
"3" "SMEST054032001.1.p1" -7.65769890340387 2.31437695451111e-42 0.53707387521561 -14.258185431808 2739.4835914044
"4" "SMEST005262001.1.p1" -9.82549863557223 3.48453660090248e-40 0.707723423026514 -13.8832463585201 4360.64921798564
"5" "SMEST001671001.1.p1" -5.85125942821198 1.33094223247179e-34 0.453215306231192 -12.9105512275597 491.346891128858
"6" "SMEST053358001.1.p1" -10.5982154246069 1.33094223247179e-34 0.821658420241322 -12.8985660750537 1982.81582710176
"7" "SMEST037374003.1.p1" -1.43956224778909 3.34060442776106e-34 0.112329808333578 -12.8154963419338 1333.48860052571
"8" "SMEST013992001.1.p1" -12.7578439475994 6.6335329364818e-33 1.01486066217044 -12.5710301159124 4176.64574748102
"9" "SMEST053313001.1.p1" -12.2912435468715 4.34439500324352e-30 1.02104287810764 -12.0379308356292 6259.20021873659
"10" "SMEST041912001.1.p1" -3.84765169638604 7.26855577817221e-30 0.320994347552696 -11.9866649544488 200.088100142823
"11" "SMEST053385001.1.p1" -10.7266101721542 2.69845624109259e-29 0.903710616542791 -11.8695188214006 1468.02815376497
"12" "SMEST053360001.1.p1" -11.0614188447921 3.63382270484862e-28 0.950084959879399 -11.6425575731629 2609.74548408885
"13" "SMEST013980002.1.p1" -6.97548651306516 4.0577592658914e-28 0.599974154800288 -11.6263116623533 461.145053241805
"14" "SMEST043642001.1.p1" -4.93288757761305 4.61970075767754e-27 0.432318246245213 -11.4103154804507 284.238824959826
"15" "SMEST026376001.1.p1" -4.66706860804288 2.37399584663994e-26 0.414446145853747 -11.2609772216095 91.7218178780868
"16" "SMEST043490001.1.p1" -7.42746637408807 2.88337731408961e-25 0.673205238281672 -11.0329895724614 706.283880433159
"17" "SMEST073664001.1.p1" -3.20258217172648 6.70563083493854e-25 0.292436973866959 -10.9513586102948 98.665187204699
"18" "MSTRG.22788.4.p1" -1.97582941517025 1.60418468691186e-24 0.181821536975121 -10.8668612532992 427.065213985067
"19" "SMEST048714001.1.p1" -2.11292740743481 7.51932064994022e-24 0.197102131186512 -10.7199622587308 399.48691209021
"20" "SMEST010389001.1.p1" -13.9732127908282 7.75432634787853e-24 1.30439988756571 -10.7123689016143 1859.06580601314
"21" "SMEST001542001.1.p1" -2.85175033565342 2.04682860777404e-23 0.268587025628873 -10.6176027266257 145.325047761288
"22" "SMEST078459001.1.p1" 0.940957169371307 2.83566161433155e-23 0.0889141033227999 10.5827662227576 845.12474743861
"23" "SMEST069376001.1.p1" -8.55170483323317 4.53784444607588e-23 0.811784501393486 -10.5344519617627 449.711683574106
"24" "SMEST003290001.1.p1" -6.50797108134928 8.84151503979629e-23 0.621732523881555 -10.4674773015238 489.13441675738
"25" "MSTRG.5840.1.p2" -2.6887880189449 9.70858513214257e-23 0.2572749856174 -10.4510277689548 4089.34335587608
"26" "SMEST001590001.1.p1" -6.15215906112435 9.70858513214257e-23 0.588565660968296 -10.4527998643396 756.779553814519
"27" "SMEST069734001.1.p1" -9.10912524113868 1.28304959380741e-22 0.874115245195139 -10.4209659895648 11993.8550472338
"28" "SMEST061955001.1.p1" 0.740727349744443 2.46065546299976e-22 0.0715307011802408 10.3553766078426 2332.31335708013
"29" "SMEST070597003.1.p1" -2.208230916567 3.9542704023509e-22 0.214255885354363 -10.3065122944686 281.076374259029
"30" "MSTRG.20454.1.p1" -1.19486336845744 4.88924728607372e-22 0.116199947145588 -10.2828219617035 13733.5160124252
"31" "SMEST043298001.1.p1" -8.4331627421195 5.71140713329007e-22 0.821571684170493 -10.2646706362989 1292.69479782597
"32" "SMEST030745001.1.p1" -5.61323956921216 8.98372076946339e-22 0.54950740825634 -10.2150389328211 2421.8493295667
"33" "SMEST069023002.1.p1" -8.15756993144022 8.98372076946339e-22 0.798603193223659 -10.2147975373241 4659.70044713937
"34" "SMEST026563004.1.p1" -7.21641459801893 9.62165941818764e-22 0.707128047972906 -10.2052444655617 2764.90799859729
"35" "SMEST017076001.1.p1" -8.93840980869399 1.31786252293152e-21 0.878740750221966 -10.1718394264021 12031.4363756444
"36" "SMEST013050001.1.p1" -4.25320771931025 1.72521595942845e-21 0.419331664107233 -10.1428250794402 303.263043404481
"37" "SMEST053120001.1.p1" -5.80584702887899 1.93304933176343e-21 0.573188757628016 -10.1290315827283 506.983886125318
"38" "SMEST030595001.1.p1" -1.93847145056321 1.99879495837323e-21 0.191488933624231 -10.1231513167606 6786.2765148577
"39" "SMEST072576001.1.p1" -7.32396886232695 2.08615695927937e-21 0.723968321969835 -10.1164217274027 1266.02463451758
"40" "SMEST025706001.1.p1" -7.29848506453743 2.40686243357615e-21 0.72262740339294 -10.099928442056 769.842134337217
"41" "SMEST023002001.1.p1" -7.820116653632 2.55181352877934e-21 0.774900506339206 -10.0917686717949 988.83719142922
"42" "SMEST022441001.1.p1" -1.38477036595242 3.06281441297987e-21 0.137494375619767 -10.0714691761787 938.354768748028
