"genes" "log2FoldChange" "padj" "lfcSE" "stat" "baseMean"
"1" "SMEST014171001.1.p1" -11.8686867385572 5.23765298985852e-50 0.765201991643785 -15.510527766742 4810.53238644071
"2" "SMEST054032001.1.p1" -7.94728801013016 5.4332142228567e-45 0.540498108593157 -14.7036370410543 2739.4835914044
"3" "SMEST077439001.1.p1" -6.40709700152025 1.32052628300452e-41 0.453195098784345 -14.1376131796366 1153.90036460982
"4" "SMEST005262001.1.p1" -10.1078735254861 1.80161650055142e-41 0.717102516731833 -14.0954372487107 4360.64921798564
"5" "SMEST041912001.1.p1" -4.90917619359381 2.68795100424724e-37 0.366809415619297 -13.3834519632095 200.088100142823
"6" "SMEST001671001.1.p1" -5.83010273638727 6.88909836269292e-35 0.450621234796404 -12.9379227745922 491.346891128858
"7" "SMEST048714001.1.p1" -2.60387918960437 6.88909836269292e-35 0.201402301770296 -12.9287459314847 399.48691209021
"8" "SMEST076962001.1.p1" -11.5139543407099 6.88909836269292e-35 0.890099035945407 -12.9355879241915 21688.4949629489
"9" "SMEST043642001.1.p1" -5.89609778137257 3.0036513645022e-33 0.466983949603256 -12.6259109898356 284.238824959826
"10" "SMEST069734001.1.p1" -11.7390153335023 1.0627828277579e-32 0.937793896234996 -12.5176921929557 11993.8550472338
"11" "SMEST053358001.1.p1" -11.1416829705539 1.06568953920215e-32 0.890628787363843 -12.5099066284753 1982.81582710176
"12" "SMEST023127001.1.p1" -11.5384457145071 8.55247200512865e-31 0.949703017633636 -12.1495304324264 10861.1210739688
"13" "SMEST017076001.1.p1" -10.9011240727467 3.00122705640453e-30 0.905419817195483 -12.0398558389331 12031.4363756444
"14" "SMEST000199001.1.p1" -11.7777360213309 7.32810167411233e-30 0.984774031209148 -11.959836112727 9640.95755403233
"15" "SMEST037374003.1.p1" -1.33082550212651 1.34341101809094e-29 0.111799807856445 -11.9036474895854 1333.48860052571
"16" "SMEST050200001.1.p1" -5.64492356044433 2.62339136938608e-29 0.476880435636959 -11.8371883990261 682.025442527322
"17" "SMEST074423001.1.p1" -7.99844074555283 2.62339136938608e-29 0.675532506466467 -11.8402011287222 14630.0027227093
"18" "SMEST075311001.1.p1" -7.90461820454213 2.637612899384e-29 0.668074638847702 -11.8319387459103 2115.66752208373
"19" "SMEST069023002.1.p1" -9.82853025866077 3.64509097442352e-29 0.832911570815383 -11.8002085732091 4659.70044713937
"20" "SMEST013980002.1.p1" -6.87902977697424 1.69318485606081e-28 0.589801153749044 -11.6633033578317 461.145053241805
"21" "SMEST076072001.1.p1" -2.79356854820469 1.69318485606081e-28 0.239549697208908 -11.6617494438678 146.849751269496
"22" "SMEST016878001.1.p1" -10.2721941372616 1.88272394858835e-28 0.881828129534675 -11.6487485409227 5994.3936381266
"23" "SMEST009544001.1.p1" -9.29390785341571 2.12962670894371e-28 0.798826635525287 -11.6344491283823 3871.32742646875
"24" "SMEST044805001.1.p1" -8.83514351875807 5.31317003614364e-28 0.764780584413781 -11.5525206821645 2561.53738139116
"25" "SMEST073664001.1.p1" -3.56335740138363 6.58992242063435e-28 0.309037873189369 -11.530487718572 98.665187204699
"26" "SMEST020631002.1.p1" -9.80095778772556 8.29516342432556e-28 0.851718275155826 -11.507276612014 4350.24645655743
"27" "SMEST072395001.1.p1" -13.562487623998 8.38416932697762e-28 1.1790289476123 -11.5030997766968 13580.0258002987
"28" "SMEST062650001.1.p1" -12.8250602042885 9.03964694324848e-28 1.11585700375768 -11.4934621202357 14861.3105637617
"29" "SMEST035408001.1.p1" -11.8765884226008 9.91962263545238e-28 1.03432945368602 -11.4824037740359 7374.88183408046
"30" "SMEST061272001.1.p1" -9.77042060948646 1.15348930823469e-27 0.852295648620417 -11.463651873973 4117.34629515909
"31" "SMEST068215002.1.p1" -5.63532641038645 1.15348930823469e-27 0.491585106461784 -11.4635824729254 1171.38345033244
"32" "SMEST013050001.1.p1" -5.08278909739404 1.19440149222721e-27 0.443608958295246 -11.4578143708522 303.263043404481
"33" "SMEST048946001.1.p1" -9.18604805857207 1.42837852144416e-27 0.803001673678198 -11.4396374997512 2636.16298281466
"34" "SMEST013992001.1.p1" -13.4033520813376 1.63890249548185e-27 1.17314866082205 -11.4251096463305 4176.64574748102
"35" "SMEST023215001.1.p1" -3.90889646689341 1.76177187661597e-27 0.342395849901879 -11.4163079605479 177.266858687759
"36" "SMEST021063001.1.p1" -12.3692543679056 1.92309861263798e-27 1.08442898814387 -11.4062372945941 7052.59108153957
"37" "SMEST010125001.1.p1" -11.1268033563689 3.10598702966932e-27 0.979294911880696 -11.3620557212947 10180.5247929642
"38" "MSTRG.3735.1.p1" -6.34833393449482 3.16059708374661e-27 0.558920609820383 -11.3582033350585 7821.9882049102
"39" "SMEST002445001.1.p1" -8.24950264464022 3.79176415120349e-27 0.727488573750381 -11.3397006390245 2166.70286205702
